"","Raceway_ID","tissue","microsite","Depth","day_collected_est","Distance_from_application","date_coll_flat","Year_collected","Month_collected","Day_collected","d15N","d13C","pN","pC","Site","habitat","Plant_species","Date_installed","Date_mesh_added","Season","mesh_type","Date_15N_added_flat","N15_mg_added","total_N_mg_added","Type_of_label","Year_15N_added","Month_15N_added","Day_15N_added","Experiment","Distance_from_tracer_to_mesh","mass_g","avg_N","Total_N","Day","Nat_ab_15N","R","R0","F","F0","total15N","total15N0","excess","stomped","gwc_depth","VWC","GWC","Day_2","CN","excess_percm","excess_percmday"
"1","1","root","plant","plant",10,37,170604,2017,6,4,-2.4,-14.3,0.5,38.5,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","fine","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,1.23,0.5,6.15,3,-1.575,0.003661192,0.00366421975,0.00364783656993285,0.00365084226168062,0.0224341949050871,0.0224526799093358,-1.8485004248725e-05,"No",NA,NA,NA,3,89.8333333333333,-0.000499594709425,-0.000166531569808333
"2","1","leaf","plant","plant",3,37,170604,2017,6,4,-1.4,-15.4,1.5,42.1,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","fine","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,7.83,1.5,117.45,3,-1.575,0.003664862,0.00366421975,0.00365147983032607,0.00365084226168062,0.428866306071797,0.428791423634388,7.48824374088852e-05,"No",NA,NA,NA,3,32.7444444444444,0.0020238496596996,0.0006746165532332
"3","2","root","plant","plant",10,31,170602,2017,6,2,-2.5,-14.4,0.5,38.1,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"nitrate",2017,5,23,"Nform_Plant_species",NA,8.52,0.5,42.6,10,-3,0.003660825,0.00365899,0.00364747224242811,0.00364565060090778,0.155382317527438,0.155304715598672,7.7601928766019e-05,"No",NA,NA,NA,10,88.9,0.00250328802471029,0.000250328802471029
"4","2","leaf","plant","plant",0,31,170523,2017,5,23,-3,-15.5,1.5,42,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"nitrate",2017,5,23,"Nform_Plant_species",NA,16.87,1.36666666666667,230.556666666667,0,-3,0.00365899,0.00365899,0.00364565060090778,0.00364565060090778,0.840529050376629,0.840529050376629,0,"No","0_10",NA,0.0162427214220043,0,32.6666666666667,0,NA
"5","2","leaf","plant","plant",3,31,170526,2017,5,26,-2.1,-15.9,1.4,45.4,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"nitrate",2017,5,23,"Nform_Plant_species",NA,16.87,1.36666666666667,230.556666666667,3,-3,0.003662293,0.00365899,0.00364892955084843,0.00364565060090778,0.841285034145112,0.840529050376629,0.000755983768483071,"No",NA,NA,NA,3,37.8333333333333,0.0243865731768732,0.00812885772562441
"6","2","leaf","plant","plant",10,31,170602,2017,6,2,0.3,-14.1,1.2,85.2,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"nitrate",2017,5,23,"Nform_Plant_species",NA,16.87,1.36666666666667,230.556666666667,10,-3,0.003671101,0.00365899,0.0036576733118472,0.00364565060090778,0.843300966535119,0.840529050376629,0.0027719161584896,"No",NA,NA,NA,10,82.8333333333333,0.0894166502738579,0.00894166502738579
"7","4","root","plant","plant",10,38,170604,2017,6,4,-1.1,-14.4,0.4,35.1,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","fine","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,0.71,0.4,2.84,3,-1.5,0.003665963,0.003664495,0.00365257280324848,0.00365111550548573,0.0103733067612257,0.0103691680355795,4.13872564623656e-06,"No",NA,NA,NA,3,102.375,0.000108913832795699,3.63046109318997e-05
"8","4","leaf","plant","plant",0,38,170528,2017,5,28,-1.5,-15.7,1.3,42.2,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","fine","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,3.12,1.4,43.68,-4,-1.5,0.003664495,0.003664495,0.00365111550548573,0.00365111550548573,0.159480725279616,0.159480725279616,0,"No","0_10",NA,0.0114030738720873,0,37.8717948717949,0,NA
"9","4","leaf","plant","plant",3,38,170604,2017,6,4,-0.7,-15.8,1.5,42.8,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","fine","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,3.12,1.4,43.68,3,-1.5,0.003667431,0.003664495,0.00365403009674825,0.00365111550548573,0.159608034625964,0.159480725279616,0.000127309346347193,"No",NA,NA,NA,3,33.2888888888889,0.00335024595650508,0.00111674865216836
"10","8","root","plant","plant",10,43,170602,2017,6,2,-2.3,-14.4,0.5,41.8,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,3.86,0.5,19.3,8,-2.1,0.003661559,0.003662293,0.00364820089717115,0.00364892955084843,0.0704102773154033,0.0704243403313748,-1.40630159714966e-05,"No",NA,NA,NA,8,97.5333333333333,-0.000327046883058061,-4.08808603822576e-05
"11","8","leaf","plant","plant",0,43,170525,2017,5,25,-2.1,-15.4,1.2,41.8,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,2.93,1.4,41.02,0,-2.1,0.003662293,0.003662293,0.00364892955084843,0.00364892955084843,0.149679090175803,0.149679090175803,0,"No","0_10",NA,0.012742718446602,0,40.6388888888889,0,NA
"12","8","leaf","plant","plant",3,43,170528,2017,5,28,-1.6,-15.5,1.6,41.8,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,2.93,1.4,41.02,3,-2.1,0.003664128,0.003662293,0.00365075118037894,0.00364892955084843,0.149753813419144,0.149679090175803,7.47232433413458e-05,"No",NA,NA,NA,3,30.4791666666667,0.00173774984514758,0.000579249948382526
"13","10","root","plant","plant",10,35,170602,2017,6,2,-1.6,-14.1,0.5,39.5,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"nitrate",2017,5,25,"Nform_Plant_species",NA,2.51,0.5,12.55,8,-1.575,0.003664128,0.00366421975,0.00365075118037894,0.00365084226168062,0.0458169273137557,0.0458180703840917,-1.14307033602379e-06,"No",NA,NA,NA,8,92.1666666666667,-3.26591524578225e-05,-4.08239405722781e-06
"14","10","leaf","plant","plant",3,35,170528,2017,5,28,-1.5,-15.3,1,44.2,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"nitrate",2017,5,25,"Nform_Plant_species",NA,3.31,1.4,46.34,3,-1.575,0.003664495,0.00366421975,0.00365111550548573,0.00365084226168062,0.169192692524208,0.16918003040628,1.26621179288022e-05,"No","0_10",NA,0.0132730015082958,3,51.5666666666667,0.000361774797965778,0.000120591599321926
