,Raceway_ID,tissue,microsite,Depth,day_collected_est,Distance_from_application,date_coll_flat,Year_collected,Month_collected,Day_collected,d15N,d13C,pN,pC,Site,habitat,Plant_species,Date_installed,Date_mesh_added,Season,mesh_type,Date_15N_added_flat,N15_mg_added,total_N_mg_added,Type_of_label,Year_15N_added,Month_15N_added,Day_15N_added,Experiment,Distance_from_tracer_to_mesh,mass_g,avg_N,Total_N,Day,Nat_ab_15N,R,R0,F,F0,total15N,total15N0,excess,stomped,gwc_depth,VWC,GWC,Day_2,CN,excess_percm,excess_percmday
1,1,root,plant,plant,10,37,170604,2017,6,4,-2.4,-14.3,0.5,38.5,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,1.23,0.5,6.15,3,-1.575,0.003661192,0.00366422,0.003647837,0.003650842,0.022434195,0.02245268,-1.85E-05,No,NA,NA,NA,3,89.83333333,-0.000499595,-0.000166532
2,1,leaf,plant,plant,3,37,170604,2017,6,4,-1.4,-15.4,1.5,42.1,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,7.83,1.5,117.45,3,-1.575,0.003664862,0.00366422,0.00365148,0.003650842,0.428866306,0.428791424,7.49E-05,No,NA,NA,NA,3,32.74444444,0.00202385,0.000674617
3,2,root,plant,plant,10,31,170602,2017,6,2,-2.5,-14.4,0.5,38.1,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,nitrate,2017,5,23,Nform_Plant_species,NA,8.52,0.5,42.6,10,-3,0.003660825,0.00365899,0.003647472,0.003645651,0.155382318,0.155304716,7.76E-05,No,NA,NA,NA,10,88.9,0.002503288,0.000250329
4,2,leaf,plant,plant,0,31,170523,2017,5,23,-3,-15.5,1.5,42,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,nitrate,2017,5,23,Nform_Plant_species,NA,16.87,1.366666667,230.5566667,0,-3,0.00365899,0.00365899,0.003645651,0.003645651,0.84052905,0.84052905,0,No,0_10,NA,0.016242721,0,32.66666667,0,NA
5,2,leaf,plant,plant,3,31,170526,2017,5,26,-2.1,-15.9,1.4,45.4,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,nitrate,2017,5,23,Nform_Plant_species,NA,16.87,1.366666667,230.5566667,3,-3,0.003662293,0.00365899,0.00364893,0.003645651,0.841285034,0.84052905,0.000755984,No,NA,NA,NA,3,37.83333333,0.024386573,0.008128858
6,2,leaf,plant,plant,10,31,170602,2017,6,2,0.3,-14.1,1.2,85.2,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,nitrate,2017,5,23,Nform_Plant_species,NA,16.87,1.366666667,230.5566667,10,-3,0.003671101,0.00365899,0.003657673,0.003645651,0.843300967,0.84052905,0.002771916,No,NA,NA,NA,10,82.83333333,0.08941665,0.008941665
7,4,root,plant,plant,10,38,170604,2017,6,4,-1.1,-14.4,0.4,35.1,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,0.71,0.4,2.84,3,-1.5,0.003665963,0.003664495,0.003652573,0.003651116,0.010373307,0.010369168,4.14E-06,No,NA,NA,NA,3,102.375,0.000108914,3.63E-05
8,4,leaf,plant,plant,0,38,170528,2017,5,28,-1.5,-15.7,1.3,42.2,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,3.12,1.4,43.68,-4,-1.5,0.003664495,0.003664495,0.003651116,0.003651116,0.159480725,0.159480725,0,No,0_10,NA,0.011403074,0,37.87179487,0,NA
9,4,leaf,plant,plant,3,38,170604,2017,6,4,-0.7,-15.8,1.5,42.8,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,3.12,1.4,43.68,3,-1.5,0.003667431,0.003664495,0.00365403,0.003651116,0.159608035,0.159480725,0.000127309,No,NA,NA,NA,3,33.28888889,0.003350246,0.001116749
10,8,root,plant,plant,10,43,170602,2017,6,2,-2.3,-14.4,0.5,41.8,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,3.86,0.5,19.3,8,-2.1,0.003661559,0.003662293,0.003648201,0.00364893,0.070410277,0.07042434,-1.41E-05,No,NA,NA,NA,8,97.53333333,-0.000327047,-4.09E-05
11,8,leaf,plant,plant,0,43,170525,2017,5,25,-2.1,-15.4,1.2,41.8,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,2.93,1.4,41.02,0,-2.1,0.003662293,0.003662293,0.00364893,0.00364893,0.14967909,0.14967909,0,No,0_10,NA,0.012742718,0,40.63888889,0,NA
12,8,leaf,plant,plant,3,43,170528,2017,5,28,-1.6,-15.5,1.6,41.8,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,2.93,1.4,41.02,3,-2.1,0.003664128,0.003662293,0.003650751,0.00364893,0.149753813,0.14967909,7.47E-05,No,NA,NA,NA,3,30.47916667,0.00173775,0.00057925
13,10,root,plant,plant,10,35,170602,2017,6,2,-1.6,-14.1,0.5,39.5,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,nitrate,2017,5,25,Nform_Plant_species,NA,2.51,0.5,12.55,8,-1.575,0.003664128,0.00366422,0.003650751,0.003650842,0.045816927,0.04581807,-1.14E-06,No,NA,NA,NA,8,92.16666667,-3.27E-05,-4.08E-06
14,10,leaf,plant,plant,3,35,170528,2017,5,28,-1.5,-15.3,1,44.2,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,nitrate,2017,5,25,Nform_Plant_species,NA,3.31,1.4,46.34,3,-1.575,0.003664495,0.00366422,0.003651116,0.003650842,0.169192693,0.16918003,1.27E-05,No,0_10,NA,0.013273002,3,51.56666667,0.000361775,0.000120592
